antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Attention_Type=Other, WindSpeed=High",EDP_State=Normal,0.09141414141414142,0.44696969696969696,0.05757575757575758,0.6298342541436464,1.4091207041857852,1.0,0.016716406489133764,1.4940072365445496,0.31954887218045114,0.11974789915966386,0.3306591992734428,0.3793239067328401
"Attention_Type=Other, Humidity=High",EDP_State=Normal,0.09747474747474748,0.44696969696969696,0.0595959595959596,0.6113989637305699,1.3678756476683938,1.0,0.016027701254973985,1.4231313131313128,0.2979854504756576,0.12291666666666669,0.29732415359500314,0.3723661485319516
"CAM_Cluster=0, Temperature=High",EDP_State=Normal,0.0898989898989899,0.44696969696969696,0.05404040404040404,0.601123595505618,1.3448866882498574,1.0,0.013858279767370682,1.3864703371745626,0.2817741450309626,0.11192468619246863,0.27874403570878875,0.36101377515393895
