antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Voltage=High, CAM_Cluster=0",EDP_State=Lower,0.09567898884531922,0.5690866867171737,0.07562340579434271,0.7903867579181919,1.3888688250248957,1.0,0.021173767043910573,2.0557542500804837,0.30961306360132596,0.12836187399030694,0.5135605338231214,0.46163616136768026
"CAM_Cluster=0, Attention_Type=Early, Global_reactive_power=Medium",EDP_State=Lower,0.07573000342635246,0.5690866867171737,0.059557619827159555,0.7864468127890609,1.3819455473923457,1.0,0.016460683092176423,2.017826654383706,0.2990278685891534,0.1017628309373577,0.5044172908373912,0.44555077691405787
"CAM_Cluster=0, Global_reactive_power=Low, Attention_Type=Early",EDP_State=Lower,0.08332889176533292,0.5690866867171737,0.06541287547112347,0.7849963450292399,1.3793967832169118,1.0,0.01799151254857618,2.004213897393648,0.3000481076151632,0.11143539056217089,0.5010512593987917,0.4499699751396852
"Voltage=VeryHigh, CAM_Cluster=0, Global_intensity=Low, Attention_Type=Early",EDP_State=Lower,0.06426314386873264,0.5690866867171737,0.05022271290973465,0.7815165876777251,1.3732821482540243,1.0,0.013651413287448545,1.9722930391036089,0.2904849996561872,0.08612652608213096,0.49297595226797947,0.4348840079716679
"CAM_Cluster=0, Global_intensity=Medium, Attention_Type=Early",EDP_State=Lower,0.10496059694673926,0.5690866867171737,0.08194312254920623,0.7807036634022488,1.3718536764685292,1.0,0.02221144419692969,1.964981813960887,0.302846203116642,0.13839308677537165,0.4910894376247367,0.46234712210398227
"CAM_Cluster=0, Global_intensity=Low, Global_reactive_power=Low",EDP_State=Lower,0.084493851600868,0.5690866867171737,0.0657631248334412,0.7783184644498513,1.3676624012057803,1.0,0.017678798777930667,1.9438394461380177,0.29363582882602973,0.11187678916076216,0.48555422003253385,0.44693876420870965
"Global_intensity=Low, Global_reactive_power=Low, Attention_Type=Early",EDP_State=Lower,0.08198119313206685,0.5690866867171737,0.06363878630981841,0.7762607968793537,1.3640466645903844,1.0,0.01698438073716977,1.9259624923686978,0.29072089703853543,0.10833441348023333,0.4807790889166681,0.4440434849651448
"Global_reactive_power=High, CAM_Cluster=0",EDP_State=Lower,0.08954962500475883,0.5690866867171737,0.06944074313777744,0.7754442649434572,1.3626118534184577,1.0,0.018479243747053876,1.9189592872091332,0.2922897292332224,0.117856865937815,0.47888420214773564,0.4487328227220597
"Voltage=VeryHigh, Global_intensity=Low, Attention_Type=Early",EDP_State=Lower,0.07200670042258348,0.5690866867171737,0.05549929569421708,0.7707518240456803,1.3543662890654316,1.0,0.014521241129292942,1.8796804445183055,0.2819495623361318,0.09477434370489798,0.46799467807611095,0.4341376358424305
"Voltage=High, Global_intensity=Low",EDP_State=Lower,0.07359043666958541,0.5690866867171737,0.05670994022918491,0.770615623383342,1.3541269570523704,1.0,0.014830602450820546,1.878564354027297,0.2822907022896625,0.09678006185191923,0.46767860368680814,0.43513320872944145
"Voltage=VeryHigh, CAM_Cluster=0, Attention_Type=Early",EDP_State=Lower,0.12324970495298283,0.5690866867171737,0.0947196101572315,0.7685179465002779,1.3504409160114796,1.0,0.024579843926669273,1.8615409132930631,0.295980635490274,0.15849556620120273,0.46281062486507407,0.46747969547756435
"CAM_Cluster=0, Global_reactive_power=Medium",EDP_State=Lower,0.09017398256367305,0.5690866867171737,0.06899912437659421,0.7651777421261505,1.3445715037548063,1.0,0.01768231141134132,1.8350616214342013,0.2816677364249626,0.1168958489203065,0.4550591716814146,0.44321155473067403
