model_name,val_loss,val_mae,val_mse,test_loss,test_mae,test_mse,params,epochs_trained,improvement_vs_baseline
S-CNN-LSTM-Att,0.002723051467910409,0.029874321073293686,0.002723051467910409,0.002494222018867731,0.029918247833848,0.002494222018867731,184577,37,3.0765270202897677
S-CNN-LSTM,0.0027417391538619995,0.03082258626818657,0.0027417391538619995,0.0025865419302135706,0.03129648417234421,0.0025865419302135706,168065,38,0.0
P-CNN-LSTM-Att,0.0030876488890498877,0.03566177561879158,0.0030876488890498877,0.0029073087498545647,0.03546682745218277,0.0029073087498545647,348417,33,-15.700140502485233
